2025-08-11 06:25:10,054 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:25:16,083 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:25:18,229 [INFO] agent.document_processing.clear_collection: ✅ Milvus 연결 성공!
2025-08-11 06:25:18,231 [INFO] agent.document_processing.clear_collection: 📋 현재 컬렉션 목록 (2개):
2025-08-11 06:25:18,232 [INFO] agent.document_processing.clear_collection:   1. embedding_test
2025-08-11 06:25:18,232 [INFO] agent.document_processing.clear_collection:   2. Booking_master
2025-08-11 06:28:05,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:10,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:15,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:20,415 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:25,424 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:30,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:35,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:40,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:45,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:50,415 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:28:55,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:00,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:05,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:10,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:15,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:20,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:25,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:30,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:35,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:40,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:45,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:50,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:29:55,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:00,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:05,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:10,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:15,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:20,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:25,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:30,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:35,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:40,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:45,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:50,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:30:55,423 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:00,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:05,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:10,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:15,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:20,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:25,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:30,415 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:35,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:40,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:45,470 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:50,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:31:55,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:00,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:05,422 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:10,417 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:15,424 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:20,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:25,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:30,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:35,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:40,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:45,418 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:50,420 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:32:55,421 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:33:00,416 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:33:05,424 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:33:10,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:33:15,419 [DEBUG] app: app.py: Log data requested, returning 14 filtered log lines
2025-08-11 06:33:18,737 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:33:19,049 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:33:20,421 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:25,420 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:30,416 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:35,417 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:40,415 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:45,414 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:50,420 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:33:55,415 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:00,414 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:05,415 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:10,415 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:15,414 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:20,420 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:25,415 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:30,421 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:35,418 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:40,414 [DEBUG] app: app.py: Log data requested, returning 16 filtered log lines
2025-08-11 06:34:44,419 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:34:44,730 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:34:45,414 [DEBUG] app: app.py: Log data requested, returning 18 filtered log lines
2025-08-11 06:34:50,418 [DEBUG] app: app.py: Log data requested, returning 18 filtered log lines
2025-08-11 06:34:55,419 [DEBUG] app: app.py: Log data requested, returning 18 filtered log lines
2025-08-11 06:34:58,080 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:34:58,318 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:35:00,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:05,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:10,422 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:15,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:20,421 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:25,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:30,419 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:35,417 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:40,418 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:45,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:50,417 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:35:55,416 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:00,419 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:05,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:10,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:15,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:20,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:25,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:30,418 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:35,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:40,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:45,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:50,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:36:55,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:00,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:05,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:10,419 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:15,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:20,417 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:25,416 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:30,416 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:35,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:40,421 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:45,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:50,421 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:37:55,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:00,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:05,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:10,420 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:15,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:20,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:25,414 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:30,418 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:35,413 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:40,416 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:45,415 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:49,081 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:49,525 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:54,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:38:59,531 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:04,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:09,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:14,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:19,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:24,531 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:29,528 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:34,532 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:39,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:44,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:49,532 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:54,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:39:59,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:04,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:09,528 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:14,531 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:19,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:24,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:29,532 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:34,536 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:39,527 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:44,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:49,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:54,528 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:40:59,531 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:41:04,527 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:41:09,529 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:41:14,531 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:41:19,530 [DEBUG] app: app.py: Log data requested, returning 20 filtered log lines
2025-08-11 06:41:21,600 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:41:21,901 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:41:22,969 [DEBUG] app: app.py: Log data requested, returning 22 filtered log lines
2025-08-11 06:41:23,039 [DEBUG] app: app.py: Log data requested, returning 22 filtered log lines
2025-08-11 06:50:28,352 [INFO] app: embedding.py: ✅ Milvus 연결 성공!
2025-08-11 06:50:28,677 [INFO] app: embedding.py: ✅ 컬렉션 'embedding_test' 준비 완료
2025-08-11 06:50:30,194 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:34,185 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:35,208 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:35,815 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:36,917 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:37,230 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:38,168 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:38,710 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:39,503 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:41,853 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:42,265 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:42,737 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:47,745 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:52,743 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:50:57,743 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:02,737 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:07,744 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:12,746 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:17,746 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:22,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:27,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:32,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:37,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:42,745 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:47,743 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:52,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:51:57,745 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:02,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:07,743 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:12,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:17,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:22,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:27,738 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:32,736 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:37,737 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:42,741 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:47,741 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:52,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:52:57,743 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:02,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:07,741 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:12,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:17,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:22,738 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:27,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:32,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:37,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:42,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:47,738 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:52,737 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:53:57,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:02,739 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:07,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:12,737 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:17,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:22,738 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:27,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:32,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:37,740 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:42,744 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
2025-08-11 06:54:47,742 [DEBUG] app: app.py: Log data requested, returning 24 filtered log lines
